CUST_ID,AREA_CODE,MINUTES_CURR_MONTH,MINUTES_PREV_MONTH,MINUTES_3MONTHS_AGO,CUST_MOS,LONGDIST_FLAG,CALLWAITING_FLAG,NUM_LINES,VOICEMAIL_FLAG,MOBILE_PLAN,CONVERGENT_BILLING,GENDER,INCOME,PHONE_PLAN,EDUCATION,TOT_MINUTES_USAGE,CHURNER
14,45987,600,5673,3456,13,0,1,1,1,0,Yes,M,34000,International,Masters,9729,yes
84,15563,2,0,4,4,0,0,1,0,0,Yes,M,53000,International,Bachelors,6,no
16,10040,2,0,0,1,0,0,1,1,0,No,F,29000,National,Post Primary,0,yes
17,21750,678,55,598,30,1,1,2,0,1,Yes,M,46000,International,Post Primary,1331,yes
18,55166,110,98,56,15,1,0,1,1,0,No,M,98000,Promo_plan,Post Primary,264,no
19,36785,97,56,5,8,0,0,1,0,1,No,M,125000,National,Post Primary,158,no
20,45987,45,223,66,44,0,0,1,0,0,No,F,91000,International,PhD,334,no
101,15563,5435,15,99,11,0,0,2,1,0,No,F,51000,International,Bachelors,5549,no
22,10040,100,2,0,2,0,0,1,0,0,Yes,F,17000,National,Bachelors,0,no
23,21750,5,7,75,6,1,0,1,1,0,No,F,39000,International,Post Primary,87,no
246,10040,2,0,0,1,0,0,1,1,0,No,F,29000,National,Post Primary,0,no
24,36785,100,90,60,10,1,0,2,1,1,Yes,M,50000,National,Primary,250,yes
25,45987,999,20,50,3,1,0,1,0,0,No,M,75000,International,PhD,1069,no
26,15563,1004,800,944,26,1,1,3,1,1,Yes,M,225000,International,PhD,2748,yes
27,10040,565,577,650,14,1,1,1,1,1,No,M,33000,National,Masters,1792,no
28,21750,333,277,144,9,0,1,1,1,1,Yes,M,44000,International,Masters,754,yes
29,55166,5,100,500,17,1,1,1,0,0,No,M,320000,Promo_plan,PhD,605,no
30,36785,398,144,630,36,0,0,2,1,0,No,M,145000,National,Post Primary,1172,no
31,45987,78,54,24,6,1,0,1,0,0,No,F,66000,International,Bachelors,156,yes
107,15563,2,0,4,4,0,0,1,0,0,Yes,M,53000,International,Bachelors,6,no
33,10040,999,1200,1145,3,1,1,2,1,1,Yes,M,80000,National,Bachelors,3344,yes
34,21750,500,2,1,23,0,0,1,0,0,Yes,M,80000,International,Post Primary,503,yes
35,55166,344,232,455,11,1,1,2,1,1,Yes,M,75000,Promo_plan,Post Primary,1031,no
36,36785,555,7654,8732,27,1,1,2,1,0,Yes,F,134000,Euro-Zone,PhD,16941,yes
37,45987,600,456,398,13,0,1,1,1,0,Yes,M,88000,International,Masters,1454,yes
124,15563,105,15,99,11,0,0,2,1,0,No,F,51000,International,Bachelors,219,no
39,10040,2,0,0,1,0,0,1,1,0,No,F,29000,National,Post Primary,0,no
40,21750,678,1222,598,30,1,1,2,0,1,Yes,M,46000,International,Post Primary,2498,yes
41,55166,110,98,56,15,1,0,1,1,0,No,M,98000,Promo_plan,Post Primary,264,no
42,36785,97,5587,4693,8,0,0,1,0,1,Yes,M,34005,Euro-Zone,PhD,10377,yes
43,45987,45,23,66,44,0,0,1,0,0,No,F,91000,International,PhD,134,no
262,15563,5,15,99,11,0,0,2,1,0,No,F,51000,International,Bachelors,119,no
45,10040,99,2,0,2,0,0,1,0,0,Yes,F,17000,National,Bachelors,0,no
46,21750,5,15,75,6,1,0,1,1,0,No,F,39000,International,Post Primary,95,no
47,36785,100,90,60,10,1,0,2,1,1,Yes,M,50000,National,Primary,250,yes
48,45987,10,20,50,3,1,0,1,0,0,No,M,75000,International,PhD,80,no
49,15563,10,800,944,26,1,1,3,1,1,Yes,M,225000,International,PhD,1754,yes
50,10040,565,577,650,14,1,1,1,1,1,No,M,33000,National,Masters,1792,no
51,21750,333,277,144,9,0,1,1,1,1,Yes,M,44000,International,Masters,754,yes
52,55166,550,100,500,17,1,1,1,0,0,No,M,320000,Promo_plan,Post Primary,1150,no
53,36785,398,144,630,36,0,0,2,1,0,No,M,145000,National,Masters,1172,no
54,45987,78,54,24,6,1,0,1,0,0,No,F,66000,International,Bachelors,156,yes
268,15563,2,0,4,4,0,0,1,0,0,Yes,M,53000,International,Bachelors,6,no
56,10040,999,1200,1145,3,1,1,2,1,1,No,M,80000,National,PhD,3344,no
57,21750,5,2,1,23,0,0,1,0,0,No,M,80000,International,Post Primary,8,yes
58,55166,344,232,455,11,1,1,2,1,1,Yes,M,75000,Promo_plan,Post Primary,1031,no
59,36785,555,444,678,27,1,1,2,1,0,No,F,134000,National,PhD,1677,no
60,45987,60,456,398,13,0,1,1,1,0,Yes,M,88000,International,Masters,914,yes
285,15563,105,15,99,11,0,0,2,1,0,No,F,51000,International,Bachelors,219,no
62,10040,2,0,0,1,0,0,1,1,0,No,F,29000,National,Post Primary,0,no
63,21750,678,1222,598,30,1,1,2,0,1,Yes,M,46000,International,Post Primary,2498,yes
64,55166,110,98,56,15,1,0,1,1,0,No,M,98000,Promo_plan,Post Primary,264,no
65,36785,97,56,97,8,0,0,1,0,1,No,M,125000,National,Post Primary,250,no
66,45987,45,23,66,44,0,0,1,0,0,No,F,91000,International,PhD,134,no
291,15563,2,0,4,4,0,0,1,0,0,Yes,M,53000,International,Bachelors,6,no
68,10040,145,2,0,2,0,0,1,0,0,Yes,F,17000,National,Bachelors,0,no
69,21750,5,150,75,6,1,0,1,1,0,No,F,39000,International,Post Primary,230,no
70,36785,100,9,60,10,1,0,2,1,1,Yes,M,50000,National,Primary,169,yes
71,45987,10,20,50,3,1,0,1,0,0,No,M,75000,International,PhD,80,no
72,15563,1004,4,944,26,1,1,3,1,1,Yes,M,225000,International,PhD,1952,no
73,10040,565,200,650,14,1,1,1,1,1,No,M,33000,National,Masters,1415,no
74,21750,333,130,144,9,0,1,1,1,1,Yes,M,44000,International,Masters,607,yes
75,55166,550,55,500,17,1,1,1,0,0,No,M,320000,Promo_plan,Post Primary,1105,no
76,36785,398,144,630,36,0,0,2,1,0,No,M,145000,National,Post Primary,1172,no
77,45987,78,54,24,6,1,0,1,0,0,No,F,66000,International,Bachelors,156,yes
308,15563,5435,15,99,11,0,0,2,1,0,No,F,51000,International,Bachelors,5549,no
79,10040,999,900,1145,3,1,1,2,1,1,Yes,M,80000,National,Bachelors,3044,no
80,21750,5,55,1,23,0,0,1,0,0,No,M,80000,International,Post Primary,61,yes
81,55166,344,232,455,11,1,1,2,1,1,Yes,M,75000,Promo_plan,Masters,1031,no
82,36785,55,444,678,27,1,1,2,1,0,No,F,134000,National,PhD,1177,no
83,45987,600,366,398,13,0,1,1,1,0,Yes,M,88000,International,Masters,1364,yes
314,15563,2,0,4,4,0,0,1,0,0,Yes,M,53000,International,Bachelors,6,no
85,10040,2,0,0,1,0,0,1,1,0,No,F,29000,National,Post Primary,0,no
86,21750,7543,16754,598,30,1,1,2,0,1,Yes,M,46000,International,Post Primary,24895,yes
87,55166,110,98,56,15,1,0,1,1,0,No,M,98000,Promo_plan,Post Primary,264,no
88,36785,97,56,97,8,0,0,1,0,1,No,M,125000,National,Post Primary,250,no
89,45987,45,23,66,44,0,0,1,0,0,No,F,91000,International,PhD,134,no
452,15563,2,0,4,4,0,0,1,0,0,Yes,M,53000,International,Bachelors,6,no
91,10040,1,2,0,2,0,0,1,0,0,Yes,F,17000,National,Bachelors,0,no
92,21750,5,15,75,6,1,0,1,1,0,No,F,39000,International,Post Primary,95,no
93,36785,100,90,60,10,1,0,2,1,1,Yes,M,50000,National,Primary,250,yes
94,45987,10,20,50,3,1,0,1,0,0,No,M,75000,International,PhD,80,no
95,15563,1004,800,944,26,1,1,3,1,1,Yes,M,225000,International,PhD,2748,no
96,10040,565,577,650,14,1,1,1,1,1,No,M,33000,National,Masters,1792,no
97,21750,4567,3534,144,9,0,1,1,1,1,Yes,M,44000,International,Masters,8245,yes
98,55166,550,100,500,17,1,1,1,0,0,No,M,320000,Promo_plan,Post Primary,1150,no
99,36785,398,144,630,36,0,0,2,1,0,No,M,145000,National,Post Primary,1172,no
100,45987,78,54,24,6,1,0,1,0,0,No,F,66000,International,Bachelors,156,yes
469,15563,5,15,99,11,0,0,2,1,0,No,F,51000,International,Bachelors,119,no
102,10040,9,1200,1145,3,1,1,2,1,1,Yes,M,80000,National,Masters,2354,no
103,21750,5,2,1,23,0,0,1,0,0,No,M,80000,International,Post Primary,8,yes
104,55166,344,232,455,11,1,1,2,1,1,Yes,M,75000,Promo_plan,,1031,no
105,36785,555,444,678,27,1,1,2,1,0,No,F,134000,National,PhD,1677,no
106,45987,600,456,398,13,0,1,1,1,0,Yes,M,88000,International,Masters,1454,yes
475,15563,2,0,4,4,0,0,1,0,0,Yes,M,53000,International,Bachelors,6,no
108,10040,2,0,0,1,0,0,1,1,0,No,F,29000,National,Post Primary,0,yes
109,21750,678,1222,598,30,1,1,2,0,1,Yes,M,46000,International,Post Primary,2498,yes
110,55166,110,98,56,15,1,0,1,1,0,No,M,98000,Promo_plan,Post Primary,264,no
111,36785,97,56,97,8,0,0,1,0,1,No,M,125000,National,Post Primary,250,no
112,45987,45,23,66,44,0,0,1,0,0,No,F,91000,International,PhD,134,no
492,15563,105,15,99,11,0,0,2,1,0,No,F,51000,International,Bachelors,219,no
114,10040,1,2,0,2,0,0,1,0,0,Yes,F,17000,National,Bachelors,0,yes
115,21750,5,15,75,6,1,0,1,1,0,No,F,39000,International,Post Primary,95,yes
116,36785,100,90,60,10,1,0,2,1,1,Yes,M,50000,National,Primary,250,yes
117,45987,88,20,50,3,1,0,1,0,0,No,M,75000,International,PhD,158,no
498,15563,2,0,4,4,0,0,1,0,0,Yes,M,53000,International,Bachelors,6,no
119,10040,565,577,650,14,1,1,1,1,1,No,M,33000,National,Masters,1792,yes
120,21750,333,277,144,9,0,1,1,1,1,Yes,M,44000,International,Masters,754,yes
121,55166,550,100,500,17,1,1,1,0,0,No,M,320000,Promo_plan,Post Primary,1150,no
122,36785,398,144,630,36,0,0,2,1,0,No,M,145000,National,Masters,1172,no
123,45987,78,54,24,6,1,0,1,0,0,No,F,66000,International,Bachelors,156,yes
515,15563,5435,15,99,11,0,0,2,1,0,No,F,51000,International,Bachelors,5549,no
125,10040,999,1200,1145,3,1,1,2,1,1,No,M,80000,National,Bachelors,3344,no
126,21750,5,2,1,23,0,0,1,0,0,No,M,80000,International,Post Primary,8,yes
127,55166,344,232,455,11,1,1,2,1,1,Yes,M,75000,Promo_plan,Post Primary,1031,no
128,36785,555,444,678,27,1,1,2,1,0,No,F,134000,National,PhD,1677,no
257,10040,565,577,650,14,1,1,1,1,1,No,M,33000,National,Masters,1792,yes
258,21750,333,277,144,9,0,1,1,1,1,Yes,M,44000,International,Masters,754,yes
259,55166,550,100,500,17,1,1,1,0,0,No,M,320000,Promo_plan,Post Primary,1150,no
260,36785,398,144,630,36,0,0,2,1,0,No,M,145000,National,Masters,1172,no
261,45987,78,54,24,6,1,0,1,0,0,No,F,66000,International,Bachelors,156,yes
521,15563,2,0,4,4,0,0,1,0,0,Yes,M,53000,International,Bachelors,6,no
263,10040,999,1200,1145,3,1,1,2,1,1,No,M,80000,National,PhD,3344,no
264,21750,5,2,1,23,0,0,1,0,0,No,M,80000,International,Post Primary,8,yes
265,55166,344,232,455,11,1,1,2,1,1,Yes,M,75000,Promo_plan,Post Primary,1031,no
266,36785,555,444,678,27,1,1,2,1,0,No,F,134000,National,PhD,1677,no
267,45987,60,456,398,13,0,1,1,1,0,Yes,M,88000,International,Masters,914,yes
538,15563,105,15,99,11,0,0,2,1,0,No,F,51000,International,Bachelors,219,no
269,10040,2,0,0,1,0,0,1,1,0,No,F,29000,National,Post Primary,0,yes
270,21750,678,1222,598,30,1,1,2,0,1,Yes,M,46000,International,Post Primary,2498,yes
271,55166,110,98,56,15,1,0,1,1,0,No,M,98000,Promo_plan,Post Primary,264,no
272,36785,97,56,97,8,0,0,1,0,1,No,M,125000,National,Post Primary,250,no
273,45987,45,23,66,44,0,0,1,0,0,No,F,91000,International,PhD,134,no
544,15563,2,0,4,4,0,0,1,0,0,Yes,M,53000,International,Bachelors,6,no
275,10040,145,2,0,2,0,0,1,0,0,Yes,F,17000,National,Bachelors,0,yes
276,21750,5,150,75,6,1,0,1,1,0,No,F,39000,International,Post Primary,230,yes
277,36785,100,9,60,10,1,0,2,1,1,Yes,M,50000,National,Primary,169,yes
278,45987,10,20,50,3,1,0,1,0,0,No,M,75000,International,PhD,80,no
279,15563,1004,4,944,26,1,1,3,1,1,Yes,M,225000,International,PhD,1952,no
280,10040,565,200,650,14,1,1,1,1,1,No,M,33000,National,Masters,1415,yes
281,21750,333,130,144,9,0,1,1,1,1,Yes,M,44000,International,Masters,607,yes
282,55166,550,55,500,17,1,1,1,0,0,No,M,320000,Promo_plan,,1105,no
283,36785,398,144,630,36,0,0,2,1,0,No,M,145000,National,Post Primary,1172,no
284,45987,78,54,24,6,1,0,1,0,0,No,F,66000,International,Bachelors,156,yes
561,15563,105,15,99,11,0,0,2,1,0,No,F,51000,International,Bachelors,219,no
286,10040,999,900,1145,3,1,1,2,1,1,Yes,M,80000,National,Bachelors,3044,yes
287,21750,5,55,1,23,0,0,1,0,0,No,M,80000,International,Post Primary,61,yes
288,55166,344,232,455,11,1,1,2,1,1,Yes,M,75000,Promo_plan,Masters,1031,no
289,36785,55,444,678,27,1,1,2,1,0,No,F,134000,National,PhD,1177,no
290,45987,600,366,398,13,0,1,1,1,0,Yes,M,88000,International,Masters,1364,yes
567,15563,2,0,4,4,0,0,1,0,0,Yes,M,53000,International,Bachelors,6,no
292,10040,2,0,0,1,0,0,1,1,0,No,F,29000,National,Post Primary,0,yes
293,21750,7543,16754,598,30,1,1,2,0,1,Yes,M,46000,International,Post Primary,24895,yes
294,55166,110,98,56,15,1,0,1,1,0,No,M,98000,Promo_plan,Post Primary,264,no
295,36785,97,56,97,8,0,0,1,0,1,No,M,125000,National,Post Primary,250,no
296,45987,45,23,66,44,0,0,1,0,0,No,F,91000,International,PhD,134,no
653,15563,105,15,99,11,0,0,2,1,0,No,F,51000,International,Bachelors,219,no
298,10040,1,2,0,2,0,0,1,0,0,Yes,F,17000,National,Bachelors,0,yes
299,21750,5,15,75,6,1,0,1,1,0,No,F,39000,International,Post Primary,95,yes
300,36785,100,90,60,10,1,0,2,1,1,Yes,M,50000,National,Primary,250,yes
301,45987,10,20,50,3,1,0,1,0,0,No,M,75000,International,PhD,80,no
302,15563,1004,800,944,26,1,1,3,1,1,Yes,M,225000,International,PhD,2748,no
303,10040,565,577,650,14,1,1,1,1,1,No,M,33000,National,Masters,1792,yes
304,21750,4567,3534,144,9,0,1,1,1,1,Yes,M,44000,International,Masters,8245,yes
305,55166,550,100,500,17,1,1,1,0,0,No,M,320000,Promo_plan,Post Primary,1150,no
306,36785,398,144,630,36,0,0,2,1,0,No,M,145000,National,Post Primary,1172,no
307,45987,78,54,24,6,1,0,1,0,0,No,F,66000,International,Bachelors,156,yes
659,15563,2,0,4,4,0,0,1,0,0,Yes,M,53000,International,Bachelors,6,no
309,10040,9,1200,1145,3,1,1,2,1,1,Yes,M,80000,National,Masters,2354,yes
